HOSP METROPOLITANO DR SUSONI	19	CALLE PALMA #55	APDO 145200	ARECIBO PUEBLO	ARECIBO	614	787-650-1030	787-650-1040	170048.3621	270854.8111	ARECIBO	2	FASE 1	PRIVADO	HOSP	13
HOSP DR. CAYETANO COLL Y TOSTE	20	PR-129 KM 0.1 AVE. SAN LUIS	APDO 659	ARECIBO PUEBLO	ARECIBO	613	787-650-7272	787-650-7300	168544.7417	270166.1903	ARECIBO	2	FASE 1	PRIVADO	HOSP	13
PROFESSIONAL HOSP INC - SAN AGUSTIN	43	PR-2 KM 49.5 INTERSECCION 685	APDO 2698	COTO NORTE	MANATI	960	787-854-5090	787-854-6559	193610.0651	266033.5921	ARECIBO	2	FASE 2	PRIVADO	HOSP	91
HOSP GENERAL CASTANER INC	115	PR-135 KM 64.2	APDO 1003 CASTAÑER	CASTAÑER	LARES	00631-1003	787-829-5010	787-829-2913	157697.7481	238527.6662	ARECIBO	2	FASE 1	PRIVADO	HOSP	81
DOCTORS CENTER HOSPITAL- MANATI	123	PR-2 KM 47.7	CALL BOX 30532	COTO NORTE	MANATI	00674-0532	787-621-3322	787-621-3372	195707.2081	266447.4212	ARECIBO	2	FASE 1	PRIVADO	HOSP	91
MANATI MEDICAL CENTER DR ALEJANDRO OTERO LOPEZ	127	CALLE HERNANDEZ CARRION 668	APDO 1142	MANATI PUEBLO	MANATI	00674-1142	787-621-3700	787-621-3710	194774.2408	266512.3497	ARECIBO	2	FASE 2	PRIVADO	HOSP	91
CSF - UTUADO	254	C/ISAAC GONZALEZ MARTINEZ	APDO 590	ARENAS	UTUADO	00641-0590	787-894-2875		171110.994	247207.961	ARECIBO	2	FASE 2	PRIVADO	CSF	141
"INST MEDICO DEL NORTE INC, CENTRO MEDICO WILMA N VAZQUEZ"	259	CARR. 2 KM. 39.5	CALL BOX 7001	VEGA BAJA	VEGA BAJA	694	787-858-1580	787-858-2385	205841.374	267797.22	ARECIBO	2	FASE 1	PRIVADO	HOSP	145
HOSP COMUNITARIO BUEN SAMARITANO INC	8	CARR 2 KM 141.1 AVE KENNEDY	APDO 4055	CAIMITAL BAJO	AGUADILLA	605	787-658-0000	787-658-0010	124199.77	267606.5212	MAYAGUEZ	3	FASE 1	PRIVADO	HOSP	5
HOSP SAN CARLOS BORROMEO	148	PR-110 KM 12.2 C/CONCEPCION VERA AYALA 555	APDO 68	PUEBLO	MOCA	00676-0068	787-877-8000	787-877-5610	128541.9995	261771.3954	MAYAGUEZ	3	FASE 1	PRIVADO	HOSP	99
METROPOLITANO PSIQUIATRICO DE CABO ROJO	44	CALLE MUÑOZ RIVERA 108	PO BOX 910	CABO ROJO PUEBLO	CABO ROJO	00623-0910	787-851-2025	787-254-0235	124380.683	228084.357	MAYAGUEZ	4	FASE 2		HOSP	23
HOSP PEREA	137	CALLE DR BASORA 15	APDO 170	MAYAGUEZ PUEBLO	MAYAGUEZ	680	787-834-0101	787-265-2455	125253.0539	241006.2343	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
CLINICA ESPANOLA INC	138	PR-106 BO LA QUINTA - SECTOR CLINICA ESPANOLA	APDO 490	MIRADERO	MAYAGUEZ	680	787-832-0404	787-832-2094	126151.805	241405.3118	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
HOSP ADVANCED CARDIOLOGY DR RAMON EMETERIO BETANCES	139	PR-2 KM 15.7 AVE HOSTOS 410 CENTRO MEDICO	APDO 1838	MAYAGUEZ PUEBLO	MAYAGUEZ	00681-1838	787-265-3900	787-265-3952	123916.7061	238582.5665	MAYAGUEZ	4	FASE 1	PUBLICO	HOSP	97
HOSP BELLA VISTA	140	PR-349 KM 2.7 CERRO LAS MESAS	GPO BOX 1750	MAYAGUEZ ARRIBA	MAYAGUEZ	681	787-834-2350	787-831-6315	127453.194	239262.5348	MAYAGUEZ	4	FASE 1	PRIVADO	HOSP	97
HOSP SAN ANTONIO INC	141	CALLE POST 18 NORTE	APDO 170546	MAYAGUEZ PUEBLO	MAYAGUEZ	681	787-834-0050	787-834-2104	125183.7154	241067.2412	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
HOSP METROPOLITANO DE SAN GERMAN	180	CALLE JAVILLA 8	APDO 63	SAN GERMAN PUEBLO	SAN GERMAN	683	787-892-5300	787-892-1362	135792.2388	227673.3059	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	125
HOSP DE LA CONCEPCION	181	CALLE LUNA 41 PR-2 KM 174.3 INTERIOR - BO CAIN ALTO	APDO 285	ANCONES	SAN GERMAN	00683-0285	787-892-1860	787-264-7908	136006.849	229404.9177	MAYAGUEZ	4	FASE 1	PRIVADO	HOSP	125
HOSP LAFAYETTE	25	PR-753 KM 0.1 SECTOR CUATRO CALLES	APDO 207	GUASIMAS	ARROYO	714	787-839-3232	787-271-0100	239716.2484	215826.791	PONCE	7	FASE 1	PRIVADO	HOSP	15
