HOSP METROPOLITANO DR SUSONI	19	CALLE PALMA #55	APDO 145200	ARECIBO PUEBLO	ARECIBO	614	787-650-1030	787-650-1040	170048.3621	270854.8111	POINT (-66.7169189 18.4732742)	"18.4733, -66.7169"	ARECIBO	2	FASE 1	PRIVADO	HOSP	13
HOSP DR. CAYETANO COLL Y TOSTE	20	PR-129 KM 0.1 AVE. SAN LUIS	APDO 659	ARECIBO PUEBLO	ARECIBO	613	787-650-7272	787-650-7300	168544.7417	270166.1903	POINT (-66.7311478 18.4670429)	"18.467, -66.7311"	ARECIBO	2	FASE 1	PRIVADO	HOSP	13
PROFESSIONAL HOSP INC - SAN AGUSTIN	43	PR-2 KM 49.5 INTERSECCION 685	APDO 2698	COTO NORTE	MANATI	960	787-854-5090	787-854-6559	193610.0651	266033.5921	POINT (-66.4938278 18.4299297)	"18.4299, -66.4938"	ARECIBO	2	FASE 2	PRIVADO	HOSP	91
HOSP GENERAL CASTANER INC	115	PR-135 KM 64.2	APDO 1003 CASTAÑER	CASTAÑER	LARES	00631-1003	787-829-5010	787-829-2913	157697.7481	238527.6662	POINT (-66.8331833 18.1810188)	"18.181, -66.8332"	ARECIBO	2	FASE 1	PRIVADO	HOSP	81
DOCTORS CENTER HOSPITAL- MANATI	123	PR-2 KM 47.7	CALL BOX 30532	COTO NORTE	MANATI	00674-0532	787-621-3322	787-621-3372	195707.2081	266447.4212	POINT (-66.4739685 18.4336891)	"18.4337, -66.474"	ARECIBO	2	FASE 1	PRIVADO	HOSP	91
MANATI MEDICAL CENTER DR ALEJANDRO OTERO LOPEZ	127	CALLE HERNANDEZ CARRION 668	APDO 1142	MANATI PUEBLO	MANATI	00674-1142	787-621-3700	787-621-3710	194774.2408	266512.3497	POINT (-66.4828033 18.434267)	"18.4343, -66.4828"	ARECIBO	2	FASE 2	PRIVADO	HOSP	91
CSF - UTUADO	254	C/ISAAC GONZALEZ MARTINEZ	APDO 590	ARENAS	UTUADO	00641-0590	787-894-2875	NULL	171110.994	247207.961	POINT (-66.7065201 18.2596569)	"18.2597, -66.7065"	ARECIBO	2	FASE 2	PRIVADO	CSF	141
"INST MEDICO DEL NORTE INC, CENTRO MEDICO WILMA N VAZQUEZ"	259	CARR. 2 KM. 39.5	CALL BOX 7001	VEGA BAJA	VEGA BAJA	694	787-858-1580	787-858-2385	205841.374	267797.22	POINT (-66.3780365 18.4458847)	"18.4459, -66.378"	ARECIBO	2	FASE 1	PRIVADO	HOSP	145
HOSP COMUNITARIO BUEN SAMARITANO INC	8	CARR 2 KM 141.1 AVE KENNEDY	APDO 4055	CAIMITAL BAJO	AGUADILLA	605	787-658-0000	787-658-0010	124199.77	267606.5212	POINT (-67.1508865 18.4428139)	"18.4428, -67.1509"	MAYAGUEZ	3	FASE 1	PRIVADO	HOSP	5
HOSP SAN CARLOS BORROMEO	148	PR-110 KM 12.2 C/CONCEPCION VERA AYALA 555	APDO 68	PUEBLO	MOCA	00676-0068	787-877-8000	787-877-5610	128541.9995	261771.3954	POINT (-67.109581 18.3902512)	"18.3903, -67.1096"	MAYAGUEZ	3	FASE 1	PRIVADO	HOSP	99
METROPOLITANO PSIQUIATRICO DE CABO ROJO	44	CALLE MUÑOZ RIVERA 108	PO BOX 910	CABO ROJO PUEBLO	CABO ROJO	00623-0910	787-851-2025	787-254-0235	124380.683	228084.357	POINT (-67.1477127 18.0857353)	"18.0857, -67.1477"	MAYAGUEZ	4	FASE 2	NULL	HOSP	23
HOSP PEREA	137	CALLE DR BASORA 15	APDO 170	MAYAGUEZ PUEBLO	MAYAGUEZ	680	787-834-0101	787-265-2455	125253.0539	241006.2343	POINT (-67.139946 18.2025299)	"18.2025, -67.1399"	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
CLINICA ESPANOLA INC	138	PR-106 BO LA QUINTA - SECTOR CLINICA ESPANOLA	APDO 490	MIRADERO	MAYAGUEZ	680	787-832-0404	787-832-2094	126151.805	241405.3118	POINT (-67.1314621 18.2061749)	"18.2062, -67.1315"	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
HOSP ADVANCED CARDIOLOGY DR RAMON EMETERIO BETANCES	139	PR-2 KM 15.7 AVE HOSTOS 410 CENTRO MEDICO	APDO 1838	MAYAGUEZ PUEBLO	MAYAGUEZ	00681-1838	787-265-3900	787-265-3952	123916.7061	238582.5665	POINT (-67.1524887 18.1805706)	"18.1806, -67.1525"	MAYAGUEZ	4	FASE 1	PUBLICO	HOSP	97
HOSP BELLA VISTA	140	PR-349 KM 2.7 CERRO LAS MESAS	GPO BOX 1750	MAYAGUEZ ARRIBA	MAYAGUEZ	681	787-834-2350	787-831-6315	127453.194	239262.5348	POINT (-67.1190872 18.1868401)	"18.1868, -67.1191"	MAYAGUEZ	4	FASE 1	PRIVADO	HOSP	97
HOSP SAN ANTONIO INC	141	CALLE POST 18 NORTE	APDO 170546	MAYAGUEZ PUEBLO	MAYAGUEZ	681	787-834-0050	787-834-2104	125183.7154	241067.2412	POINT (-67.1406021 18.2030849)	"18.2031, -67.1406"	MAYAGUEZ	4	FASE 2	PRIVADO	HOSP	97
